"","Province","Region","Product","SubProduct","Finance","Segment","Purpose","InstallmentType","Performa","Provision","ClassPercent","TotalAc","classification"
"375","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"376","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"382","Punjab","1","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","3","20","1","SUB/STANDARD"
"383","Punjab","1","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","3","20","1","SUB/STANDARD"
"384","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","domestic need","annually","0","1","50","1","DOUBTFUL"
"385","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","domestic need","annually","0","1","50","1","DOUBTFUL"
"386","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","domestic need","annually","0","1","50","1","DOUBTFUL"
"387","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","domestic need","annually","0","1","50","1","DOUBTFUL"
"388","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","0","1","25","1","SUB/STANDARD"
"405","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"406","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"407","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"408","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"410","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"411","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"412","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"413","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"414","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"415","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"416","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"417","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"418","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"419","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"420","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"421","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"422","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"423","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"424","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"425","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"426","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"427","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"428","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"429","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"430","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","fixed investments","quarterly","0","1","50","1","DOUBTFUL"
"431","Punjab","1","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","fixed investments","monthly","0","3","25","1","SUB/STANDARD"
"432","Punjab","1","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","fixed investments","monthly","0","5","25","1","SUB/STANDARD"
"433","Punjab","1","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","fixed investments","monthly","0","4","25","1","SUB/STANDARD"
"443","Punjab","1","consumer","gold loan","demand finance gold a/c.","individuals","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"444","Punjab","1","consumer","gold loan","demand finance gold a/c.","others","working capital","quarterly","0","1","25","1","SUB/STANDARD"
"504","Punjab","2","sme","small enterprise","cash finance a/c.","automobile & transportation","working capital","quarterly","0","7","50","1","DOUBTFUL"
"928","Punjab","2","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","5","50","1","DOUBTFUL"
"932","Punjab","2","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","4","50","1","DOUBTFUL"
"937","Punjab","2","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","6","50","1","DOUBTFUL"
"940","Punjab","2","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","5","50","1","DOUBTFUL"
"946","Punjab","2","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","5","50","1","DOUBTFUL"
"948","Punjab","2","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","3","50","1","DOUBTFUL"
"949","Punjab","2","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","6","50","1","DOUBTFUL"
"961","Punjab","2","sme","small enterprise","running finance a/c.","fuel & energy","working capital","quarterly","0","7","50","1","DOUBTFUL"
"965","Punjab","2","sme","small enterprise","running finance a/c.","chemicals/pharma","working capital","quarterly","0","7","50","1","DOUBTFUL"
"991","Punjab","2","corporate","corporate","running finance a/c.","textile composite","working capital","quarterly","0","1","0","1","DOUBTFUL"
"992","Punjab","2","corporate","corporate","running finance a/c.","textile composite","working capital","quarterly","0","1","0","1","DOUBTFUL"
"993","Punjab","2","corporate","corporate","running finance a/c.","textile composite","working capital","quarterly","0","1","0","1","DOUBTFUL"
"994","Punjab","2","corporate","corporate","running finance a/c.","textile composite","working capital","quarterly","0","1","0","1","DOUBTFUL"
"1212","Punjab","2","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","6","50","1","DOUBTFUL"
"1222","Punjab","2","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","6","4","25","1","SUB/STANDARD"
"1224","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1225","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1226","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1227","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1228","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1229","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1230","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1231","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1232","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1233","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1234","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1235","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1236","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1237","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1238","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1239","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1240","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1243","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1244","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1254","Punjab","3","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","2","1","50","1","DOUBTFUL"
"1255","Punjab","3","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","2","1","50","1","DOUBTFUL"
"1256","Punjab","3","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","2","1","50","1","DOUBTFUL"
"1257","Punjab","3","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","2","1","50","1","DOUBTFUL"
"1258","Punjab","3","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","2","1","50","1","DOUBTFUL"
"1259","Punjab","3","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","2","1","50","1","DOUBTFUL"
"1260","Punjab","3","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","2","1","50","1","DOUBTFUL"
"1261","Punjab","3","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","2","1","50","1","DOUBTFUL"
"1262","Punjab","3","saibaan","mortgage loans","demand finance nbp saiban (purchase) a/c","individuals","working capital","monthly","2","1","0","1","OAEM"
"1263","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","14","2","20","1","SUB/STANDARD"
"1264","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","fixed investments","lumpsum","0","3","20","1","SUB/STANDARD"
"1265","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","fixed investments","lumpsum","0","3","20","1","SUB/STANDARD"
"1266","Punjab","3","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture (development)","working capital","half-yearly","10","1","0","1","OAEM"
"1267","Punjab","3","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture (development)","working capital","half-yearly","10","1","0","1","OAEM"
"1268","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1269","Punjab","3","agriculture","purchase of machinery / equipments","agriculture finance a/c","agri business/agriculture (development)","working capital","half-yearly","10","1","0","1","OAEM"
"1294","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1295","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1297","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1298","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1299","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1300","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1301","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1302","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1303","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1304","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1305","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1306","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1307","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1308","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1309","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1310","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1311","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1312","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1313","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1314","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1315","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1316","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1317","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1318","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1319","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1320","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1321","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1322","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1323","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1324","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1325","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1326","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1327","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1328","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1329","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1330","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1331","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1332","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1333","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1335","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1336","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1337","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1338","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1339","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1340","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1341","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1342","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1343","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1344","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1345","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1346","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1347","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1348","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1355","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","14","3","20","1","SUB/STANDARD"
"1356","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","14","2","20","1","SUB/STANDARD"
"1357","Punjab","3","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture (development)","working capital","half-yearly","10","3","20","1","SUB/STANDARD"
"1358","Punjab","3","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture (development)","working capital","half-yearly","10","3","20","1","SUB/STANDARD"
"1359","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","3","20","1","SUB/STANDARD"
"1360","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","3","20","1","SUB/STANDARD"
"1361","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","4","20","1","SUB/STANDARD"
"1362","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","4","20","1","SUB/STANDARD"
"1363","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","3","20","1","SUB/STANDARD"
"1364","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","3","20","1","SUB/STANDARD"
"1365","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","4","20","1","SUB/STANDARD"
"1366","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","4","20","1","SUB/STANDARD"
"1367","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","3","20","1","SUB/STANDARD"
"1368","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","2","20","1","SUB/STANDARD"
"1369","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","5","20","1","SUB/STANDARD"
"1370","Punjab","3","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture (development)","working capital","half-yearly","10","2","20","1","SUB/STANDARD"
"1373","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1374","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1375","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1376","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1377","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1378","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1379","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1380","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1381","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"1382","Punjab","3","sme","small enterprise","cash finance a/c.","construction / real estate","working capital","quarterly","2","4","25","1","SUB/STANDARD"
"1383","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1384","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1385","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1386","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"1387","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
